dates,staff,ctv_collected,canvass_period,dow,doors_knocked,doors_rate,doors_contacted
2020-07-13,Jack Lew,27,1,Mon,0,0.7181502484017983,0
2020-09-06,Jeanne Hulit,16,1,Sun,0,0.4829514030483551,0
2020-08-29,Ken Salazar,14,1,Sat,161,0.27141449026530606,43
2020-07-13,Sylvia Mathews Burwell,15,1,Mon,0,0.2735384713974781,0
2020-10-04,Robert Gates,7,1,Sun,28,0.7249480820493772,20
2020-07-05,William M. Daley,8,1,Sun,58,0.3422088789870031,19
2020-05-24,Tom Perez,6,1,Sun,28,0.6676276212907396,18
2020-04-16,Steven Chu,32,1,Thu,0,0.45502236238680777,0
2020-04-22,William M. Daley,10,1,Wed,0,0.8167337079416029,0
2020-06-08,Cameron Kerry,14,1,Mon,0,0.37633078498765826,0
2020-07-22,Rand Beers,19,1,Wed,0,0.1094973302911967,0
2020-08-22,Neal S. Wolin,14,1,Sat,70,0.35650731342611836,24
2020-06-28,Steven Chu,10,1,Sun,27,0.5304714621510357,14
2020-10-16,Ash Carter,16,1,Fri,42,0.24072450350504368,10
2020-06-03,Sloan D. Gibson,11,1,Wed,0,0.2759330558008514,0
2020-07-09,Steven Chu,14,1,Thu,0,0.36593756328802557,0
2020-06-12,Jeffrey Zients,16,1,Fri,42,0.11614727389533072,4
2020-08-20,Jeanne Hulit,32,1,Thu,0,0.6875067721353844,0
2020-05-26,Anthony Foxx,19,1,Tue,0,0.23827001234749332,0
2020-07-13,Seth Harris,11,1,Mon,0,0.5612303283298388,0
2020-09-14,Maria Contreras-Sweet,24,1,Mon,0,0.3580715087940916,0
2020-04-19,Robert Gates,38,1,Sun,34,0.5275454540969804,17
2020-10-07,Michael Froman,9,1,Wed,0,0.1673614702303894,0
2020-06-13,William M. Daley,11,1,Sat,63,0.405268402560614,25
2020-09-30,Joe Biden,1,1,Wed,0,0.05030763306422159,0
2020-06-15,Penny Pritzker,23,1,Mon,0,0.19879343605134636,0
2020-06-12,Gary Locke,12,1,Fri,28,0.1284858946222812,3
2020-07-13,Gary Locke,8,1,Mon,0,0.07257868787273765,0
2020-10-11,Janet Napolitano,7,1,Sun,72,0.6491469766944646,46
2020-10-05,Sylvia Mathews Burwell,8,1,Mon,0,0.5316383977420628,0
2020-06-24,John King Jr.,12,1,Wed,0,0.06756631528260186,0
2020-09-16,Eric Holder,19,1,Wed,0,0.3156624295632355,0
2020-10-26,Lisa P. Jackson,17,1,Mon,0,0.2771586469840258,0
2020-07-04,Ray LaHood,1,1,Sat,29,0.44203576955478635,12
2020-09-02,Bob McDonald,28,1,Wed,0,0.7792907207738607,0
2020-06-26,Samantha Power,9,1,Fri,52,0.542675665486604,28
2020-06-10,Pete Rouse,14,1,Wed,0,0.5043208845891058,0
2020-09-12,Sylvia Mathews Burwell,18,1,Sat,112,0.14407222938025369,16
2020-05-14,Pete Rouse,6,1,Thu,23,0.027675249706953762,0
2020-09-02,Tom Vilsack,9,1,Wed,0,0.7880605383659712,0
2020-04-27,Eric Shinseki,23,1,Mon,0,0.5060501694213598,0
2020-05-24,Gina McCarthy,9,1,Sun,51,0.3897077704546973,19
2020-05-02,Eric Holder,4,1,Sat,64,0.6140176333254203,39
2020-05-22,John Kerry,8,1,Fri,42,0.6536988517967984,27
2020-04-13,Julian Castro,10,1,Mon,0,0.7628423688234761,0
2020-08-18,Shaun Donovan,10,1,Tue,0,0.11453366870991885,0
2020-10-08,Arne Duncan,27,1,Thu,0,0.40335003591608254,0
2020-09-17,Arne Duncan,8,1,Thu,0,0.6829669974045828,0
2020-09-21,Joe Biden,31,1,Mon,0,0.753458896826487,0
2020-07-08,Anthony Foxx,22,1,Wed,0,0.06334037659689784,0
2020-06-28,Julian Castro,13,1,Sun,23,0.3606077315867878,8
2020-09-23,Robert Gates,3,1,Wed,0,0.7621799341402947,0
2020-08-10,Janet Napolitano,18,1,Mon,0,0.8186275672866031,0
2020-08-21,Jason Furman,37,1,Fri,24,0.24151176544837652,5
2020-06-16,Denis McDonough,27,1,Tue,0,0.018939294235315172,0
2020-05-29,Arne Duncan,6,1,Fri,33,0.10736467473907396,3
2020-11-02,Rand Beers,23,1,Mon,0,0.8093882939894683,0
2020-08-16,Julian Castro,14,1,Sun,34,0.4068314524483867,13
2020-05-17,Robert Gates,12,1,Sun,38,0.27804194065975024,10
2020-04-29,Sally Jewell,42,1,Wed,0,0.8024019979755393,0
2020-07-13,Janet Napolitano,31,1,Mon,0,0.6308429220807739,0
2020-10-18,Joe Biden,2,1,Sun,48,0.6901333435904234,33
2020-08-08,Tom Vilsack,12,1,Sat,45,0.3493495256872848,15
2020-10-29,Penny Pritzker,0,1,Thu,15,0.8224288126570173,12
2020-09-06,Kathleen Sebelius,2,1,Sun,21,0.8103664048481732,17
2020-06-17,Sloan D. Gibson,6,1,Wed,0,0.1052420619293116,0
2020-07-03,Austan Goolsbee,1,1,Fri,58,0.7421497821691446,43
2020-05-03,Hillary Clinton,18,1,Sun,28,0.1368613630416803,3
2020-04-03,Tom Vilsack,5,1,Fri,25,0.6376190133742057,15
2020-09-03,Anthony Foxx,18,1,Thu,16,0.5370467732078396,8
2020-04-23,Joe Biden,6,1,Thu,33,0.5590848237276077,18
2020-07-06,John Bryson,30,1,Mon,0,0.7818839984945952,0
2020-08-17,Eric Shinseki,25,1,Mon,0,0.34202716482104734,0
2020-11-02,Rebecca Blank,34,1,Mon,0,0.3553022425272502,0
2020-07-17,Penny Pritzker,13,1,Fri,88,0.015097251522820442,1
2020-07-15,Janet Napolitano,12,1,Wed,0,0.15595221313415095,0
2020-05-08,Edward C. Hugler,6,1,Fri,49,0.517438557324931,25
2020-09-11,Edward C. Hugler,13,1,Fri,65,0.10039283219957724,6
2020-07-08,Neal S. Wolin,8,1,Wed,0,0.15358692080480976,0
2020-07-20,Rahm Emanuel,13,1,Mon,0,0.16259383597644045,0
2020-05-16,Jack Lew,16,1,Sat,15,0.6786676565534435,10
2020-05-20,Neal S. Wolin,11,1,Wed,0,0.736405126331374,0
2020-08-08,Gary Locke,20,1,Sat,109,0.3038139740237966,33
2020-08-03,Bob McDonald,19,1,Mon,0,0.7310088793397881,0
2020-04-17,Daniel Poneman,6,1,Fri,72,0.5536177453701384,39
2020-04-08,Pete Rouse,18,1,Wed,0,0.059277282329276204,0
2020-08-18,Rebecca Blank,11,1,Tue,0,0.6563531720545143,0
2020-10-19,Michael Scuse,4,1,Mon,0,0.016271733469329773,0
2020-08-08,Shaun Donovan,29,1,Sat,0,0.5430830703233368,0
2020-07-31,Edward C. Hugler,20,1,Fri,61,0.13662708423798903,8
2020-07-24,John King Jr.,18,1,Fri,34,0.42963614824693647,14
2020-10-31,Eric Holder,12,1,Sat,64,0.1492162979557179,9
2020-07-20,Janet Napolitano,13,1,Mon,0,0.28366260637994856,0
2020-08-27,Leon Panetta,21,1,Thu,0,0.5671601399197242,0
2020-08-09,Sloan D. Gibson,22,1,Sun,0,0.4924226533039473,0
2020-05-22,Neal S. Wolin,4,1,Fri,36,0.6518580726347863,23
2020-05-27,Anthony Foxx,4,1,Wed,0,0.4484737191698514,0
2020-09-06,Christina Romer,13,1,Sun,36,0.5132539350888692,18
2020-07-08,Edward C. Hugler,16,1,Wed,0,0.6922101593576372,0
2020-05-09,Timothy Geithner,9,1,Sat,46,0.4921467738575302,22
2020-09-10,Alan Krueger,4,1,Thu,17,0.5733206796809099,9
2020-04-23,Demetrios Marantis,11,1,Thu,26,0.25497242163401096,6
2020-10-05,Michael Scuse,11,1,Mon,0,0.08783063285518437,0
2020-08-12,Neal S. Wolin,21,1,Wed,0,0.1061399689875543,0
2020-07-30,Karen Mills,1,1,Thu,24,0.8479833589517511,20
2020-06-11,Ash Carter,25,1,Thu,16,0.12961035245098174,2
2020-07-08,Daniel Poneman,17,1,Wed,0,0.010160346247721464,0
2020-07-18,Ron Kirk,9,1,Sat,21,0.3381454961723648,7
2020-05-10,Denis McDonough,8,1,Sun,58,0.40483727472601455,23
2020-07-24,Julian Castro,6,1,Fri,40,0.5864701784797944,23
2020-04-17,Robert Gates,18,1,Fri,0,0.07917626929702237,0
2020-05-31,Daniel Poneman,5,1,Sun,56,0.4860882370499894,27
2020-05-17,Sloan D. Gibson,3,1,Sun,54,0.8057295421604067,43
2020-06-01,John Kerry,20,1,Mon,0,0.5177925831405445,0
2020-10-12,Hillary Clinton,22,1,Mon,0,0.008956166717689484,0
2020-07-06,Denis McDonough,13,1,Mon,0,0.0010856421198695897,0
2020-09-17,Daniel Poneman,5,1,Thu,27,0.2294808215345256,6
2020-10-09,Kathleen Sebelius,33,1,Fri,31,0.07010500339092686,2
2020-06-29,Michael Froman,32,1,Mon,0,0.29267607145011426,0
2020-04-14,Ron Kirk,5,1,Tue,0,0.6918237956939265,0
2020-06-12,Pete Rouse,7,1,Fri,100,0.6064723059651441,60
2020-09-05,Maria Contreras-Sweet,7,1,Sat,64,0.7492117285612039,47
2020-06-13,Bob McDonald,16,1,Sat,87,0.0997903355397284,8
2020-08-15,Susan Rice,28,1,Sat,24,0.38052822995232416,9
2020-09-30,Neal S. Wolin,22,1,Wed,0,0.6920352525659836,0
2020-10-03,Rosemary DiCarlo,5,1,Sat,57,0.5133333963458426,29
2020-06-24,Peter R. Orszag,30,1,Wed,0,0.7421522949822247,0
2020-06-22,Steven Chu,39,1,Mon,0,0.4319708023453131,0
2020-10-12,Lisa P. Jackson,25,1,Mon,0,0.034633906558156013,0
2020-08-18,Robert Gates,34,1,Tue,0,0.0827730260672979,0
2020-09-08,Chuck Hagel,13,1,Tue,0,0.23109969517681747,0
2020-08-10,William M. Daley,11,1,Mon,0,0.01552469691960141,0
2020-10-13,Ray LaHood,9,1,Tue,0,0.46958863851614296,0
2020-06-03,Samantha Power,30,1,Wed,0,0.7408760216436349,0
2020-05-12,Pete Rouse,26,1,Tue,0,0.6352336359559558,0
2020-10-10,Austan Goolsbee,24,1,Sat,113,0.4211643342161551,47
2020-07-19,Ron Kirk,7,1,Sun,35,0.17321993253426626,6
2020-10-08,Eric Holder,29,1,Thu,0,0.7305913789197802,0
2020-05-12,Sally Jewell,17,1,Tue,0,0.0626731314114295,0
2020-09-12,Bob Perciasepe,20,1,Sat,42,0.2915602848748676,12
2020-09-05,Rand Beers,23,1,Sat,42,0.04733452535001561,1
2020-10-22,John Bryson,15,1,Thu,0,0.4017201836337335,0
2020-07-28,Eric Holder,12,1,Tue,0,0.6979209315031767,0
2020-09-02,Denis McDonough,20,1,Wed,0,0.8455074563389644,0
2020-06-24,Alan Krueger,20,1,Wed,0,0.32372417078586296,0
2020-04-22,Loretta Lynch,23,1,Wed,0,0.03510994343087077,0
2020-10-19,Samantha Power,8,1,Mon,0,0.260358829726465,0
2020-06-01,Janet Napolitano,9,1,Mon,0,0.478976815729402,0
2020-08-07,John Bryson,2,1,Fri,61,0.692957899661269,42
2020-04-24,Ken Salazar,14,1,Fri,45,0.5069958054809831,22
2020-09-30,Miriam Sapiro,27,1,Wed,0,0.12758640213869513,0
2020-06-08,Hilda Solis,24,1,Mon,0,0.3956258840160444,0
2020-09-17,Pete Rouse,9,1,Thu,23,0.23669164651073515,5
2020-05-29,Penny Pritzker,11,1,Fri,78,0.5430971115594729,42
2020-05-18,Susan Rice,15,1,Mon,0,0.7294416484888643,0
2020-07-22,Kathleen Sebelius,16,1,Wed,0,0.42595292434562,0
2020-05-29,Leon Panetta,8,1,Fri,55,0.7498629496898502,41
2020-05-10,Gina McCarthy,10,1,Sun,29,0.4785895436769351,13
2020-07-22,Eric Holder,40,1,Wed,0,0.608006909827236,0
2020-08-01,Rahm Emanuel,5,1,Sat,70,0.8152452395414002,57
2020-04-29,Joe Biden,9,1,Wed,0,0.47128045379649847,0
2020-05-26,Eric Holder,19,1,Tue,0,0.33483281809603793,0
2020-09-03,Miriam Sapiro,7,1,Thu,28,0.6650664556073025,18
2020-10-26,Gary Locke,33,1,Mon,0,0.0712199330329895,0
2020-04-22,Miriam Sapiro,10,1,Wed,0,0.04114598386222496,0
2020-09-13,Peter R. Orszag,13,1,Sun,47,0.5065622823894955,23
2020-10-23,Hilda Solis,11,1,Fri,37,0.5969025905244052,22
2020-09-25,Sally Jewell,3,1,Fri,65,0.7953305752482265,51
2020-06-06,Cameron Kerry,3,1,Sat,57,0.04215898476541042,2
2020-08-19,Tom Perez,20,1,Wed,0,0.8271956833894364,0
2020-10-24,Tom Perez,4,1,Sat,28,0.8145612303283997,22
2020-10-24,Jason Furman,9,1,Sat,76,0.6662635111133568,50
2020-06-13,Rand Beers,33,1,Sat,123,0.07700428407406434,9
2020-05-27,Shaun Donovan,6,1,Wed,0,0.07486549600725993,0
2020-05-06,Ron Kirk,6,1,Wed,0,0.49444384144153447,0
2020-06-09,Seth Harris,22,1,Tue,0,0.777791282243561,0
2020-07-20,Sylvia Mathews Burwell,18,1,Mon,0,0.15130460711661725,0
2020-10-18,Janet Napolitano,4,1,Sun,92,0.5953371594310738,54
2020-07-20,Kathleen Sebelius,4,1,Mon,0,0.5140712631167844,0
2020-06-06,Jeh Johnson,3,1,Sat,50,0.5784658885910176,28
2020-04-11,Pete Rouse,6,1,Sat,83,0.3125643926672637,25
2020-06-30,Bob Perciasepe,31,1,Tue,0,0.29265033317496997,0
2020-10-03,Eric Holder,5,1,Sat,90,0.6418750124052167,57
2020-06-15,Demetrios Marantis,20,1,Mon,0,0.18882089531980453,0
2020-04-29,Samantha Power,15,1,Wed,0,0.43973542979219926,0
2020-06-21,Edward C. Hugler,20,1,Sun,26,0.10145696470281108,2
2020-08-16,Hillary Clinton,13,1,Sun,41,0.24515884576831012,10
2020-06-24,Jason Furman,6,1,Wed,0,0.822310128994286,0
2020-08-28,Ron Kirk,7,1,Fri,25,0.68005350275198,17
2020-08-28,Loretta Lynch,9,1,Fri,61,0.42333398751216006,25
2020-07-30,Miriam Sapiro,8,1,Thu,20,0.49258353231707586,9
2020-07-03,Austan Goolsbee,4,1,Fri,41,0.8397530524409376,34
2020-07-08,Jeanne Hulit,5,1,Wed,0,0.6390179156325757,0
2020-06-06,John Bryson,5,1,Sat,76,0.46397909669904036,35
2020-08-04,John Kerry,24,1,Tue,0,0.18732120168861002,0
2020-10-15,Bob Perciasepe,14,1,Thu,27,0.19631864527473225,5
2020-05-01,Sally Jewell,18,1,Fri,46,0.4441230131895281,20
2020-06-30,Cameron Kerry,25,1,Tue,0,0.6538208173355088,0
2020-05-16,Leon Panetta,7,1,Sat,121,0.6533117849729023,79
2020-07-03,Timothy Geithner,4,1,Fri,39,0.6708818228798918,26
2020-04-29,William M. Daley,24,1,Wed,0,0.4369573361240327,0
2020-07-09,John King Jr.,26,1,Thu,0,0.6146338896011002,0
2020-10-22,Shaun Donovan,12,1,Thu,0,0.5463193778414279,0
2020-09-13,Sloan D. Gibson,4,1,Sun,43,0.8132485080393962,34
2020-10-20,Joe Biden,6,1,Tue,0,0.5125404353020713,0
2020-07-12,Ken Salazar,16,1,Sun,0,0.8161901075276546,0
2020-08-09,Denis McDonough,12,1,Sun,18,0.1366016934858635,2
2020-07-15,Sloan D. Gibson,26,1,Wed,0,0.5494837180129252,0
2020-04-24,Timothy Geithner,8,1,Fri,49,0.3654172108974308,17
2020-05-24,Karen Mills,4,1,Sun,20,0.676249418221414,13
2020-07-18,Jeanne Hulit,7,1,Sat,137,0.5626724150730297,77
2020-06-20,Karen Mills,6,1,Sat,83,0.4315040219342336,35
2020-10-20,John Bryson,22,1,Tue,0,0.6231128719868139,0
2020-07-23,John King Jr.,1,1,Thu,27,0.8184591971337795,22
2020-06-08,Samantha Power,15,1,Mon,0,0.25561658483929933,0
2020-05-31,Michael Scuse,11,1,Sun,44,0.33937540942570193,14
2020-09-18,Joe Biden,6,1,Fri,24,0.476037041132804,11
2020-08-31,William M. Daley,7,1,Mon,0,0.5193450456485152,0
2020-05-06,Denis McDonough,20,1,Wed,0,0.21669400456594304,0
2020-04-14,Miriam Sapiro,36,1,Tue,0,0.3471462329151109,0
2020-09-11,Eric Shinseki,14,1,Fri,93,0.23063077995320783,21
2020-08-13,Jeh Johnson,19,1,Thu,37,0.11284246001159771,4
2020-05-07,Rebecca Blank,15,1,Thu,0,0.7464079108671285,0
2020-04-14,Denis McDonough,6,1,Tue,0,0.4248154514236376,0
2020-04-24,Rosemary DiCarlo,3,1,Fri,64,0.2631983554107137,16
2020-06-22,Joe Biden,11,1,Mon,0,0.7445627484819851,0
2020-05-07,Gina McCarthy,44,1,Thu,0,0.7227183808921837,0
2020-06-04,Rebecca Blank,41,1,Thu,15,0.4637389879790135,6
2020-05-12,Steven Chu,14,1,Tue,0,0.47039644290925936,0
2020-05-26,Hilda Solis,25,1,Tue,0,0.2592449256335385,0
2020-05-10,Tom Vilsack,20,1,Sun,61,0.3301773227518424,20
2020-07-13,Demetrios Marantis,12,1,Mon,0,0.4785905680386349,0
2020-09-15,Julian Castro,24,1,Tue,0,0.01938679622253403,0
2020-04-07,Ernest Moniz,8,1,Tue,0,0.3586204875027761,0
2020-07-24,Miriam Sapiro,12,1,Fri,47,0.12142126106191427,5
2020-10-09,Leon Panetta,31,1,Fri,22,0.3522600010852329,7
2020-06-20,Austan Goolsbee,1,1,Sat,73,0.7461491202120669,54
2020-04-11,Gina McCarthy,14,1,Sat,81,0.10121394735760987,8
2020-05-01,Tom Perez,25,1,Fri,22,0.15973979566479102,3
2020-06-09,Ash Carter,33,1,Tue,0,0.5368812437984161,0
2020-05-04,Denis McDonough,17,1,Mon,0,0.8035924085881561,0
2020-04-29,Edward C. Hugler,42,1,Wed,0,0.1553411776199937,0
2020-05-19,Daniel Poneman,14,1,Tue,0,0.025380796857643873,0
2020-05-20,Gina McCarthy,18,1,Wed,0,0.48842526325024666,0
2020-04-29,Rand Beers,6,1,Wed,0,0.7952119691646657,0
2020-10-30,Kathleen Sebelius,19,1,Fri,61,0.1267308572656475,7
2020-06-10,Hillary Clinton,22,1,Wed,0,0.05699950128328055,0
2020-07-20,Ash Carter,33,1,Mon,0,0.43190280301496387,0
2020-08-26,Rahm Emanuel,8,1,Wed,0,0.24074514451203868,0
2020-04-22,Rand Beers,27,1,Wed,0,0.17599222636781633,0
2020-04-26,Susan Rice,3,1,Sun,21,0.12810024401405826,2
2020-04-11,Steven Chu,2,1,Sat,100,0.7748816214269026,77
2020-10-19,Sloan D. Gibson,29,1,Mon,0,0.13334758372511715,0
2020-08-25,Ash Carter,14,1,Tue,0,0.28878218091558666,0
2020-04-21,Neal S. Wolin,9,1,Tue,0,0.7418691312079317,0
2020-07-16,Pete Rouse,36,1,Thu,28,0.20878227395005525,5
2020-07-10,John King Jr.,6,1,Fri,32,0.6732702403329313,21
2020-06-21,Jason Furman,9,1,Sun,83,0.5479087448795326,45
2020-11-02,Robert Gates,13,1,Mon,0,0.2327040064963512,0
2020-05-09,John Bryson,4,1,Sat,90,0.5201468293438666,46
2020-09-24,Neal S. Wolin,16,1,Thu,18,0.07975068012019619,1
2020-04-15,Gary Locke,40,1,Wed,0,0.5629503996460699,0
2020-06-26,John King Jr.,11,1,Fri,60,0.32908029351383444,19
2020-05-01,Ernest Moniz,1,1,Fri,50,0.8443420582800172,42
2020-05-12,Ray LaHood,19,1,Tue,0,0.7430319572798908,0
2020-09-30,John Kerry,7,1,Wed,0,0.42591948515037076,0
2020-09-04,Gary Locke,18,1,Fri,29,0.23094841203419492,6
2020-05-28,Christina Romer,9,1,Thu,24,0.18512581170070916,4
2020-07-17,John Bryson,2,1,Fri,62,0.7775798833579756,48
2020-04-19,Samantha Power,3,1,Sun,73,0.45053605652647094,32
2020-06-16,Chuck Hagel,6,1,Tue,0,0.4566555327619426,0
2020-10-28,Anthony Foxx,37,1,Wed,0,0.33508580673951655,0
2020-08-14,Cameron Kerry,36,1,Fri,17,0.30874074512394145,5
2020-08-23,Gary Locke,38,1,Sun,26,0.5168310526525601,13
2020-06-07,Anthony Foxx,24,1,Sun,29,0.007813334895763547,0
2020-06-28,Shaun Donovan,6,1,Sun,29,0.5119867585017346,14
2020-11-03,Janet Napolitano,9,1,Tue,0,0.08435990839498117,0
2020-10-03,Hilda Solis,2,1,Sat,79,0.6882191535551101,54
2020-10-24,Ash Carter,5,1,Sat,93,0.7427286379621364,69
2020-09-24,Anthony Foxx,11,1,Thu,0,0.7845710266847163,0
2020-09-17,Shaun Donovan,3,1,Thu,19,0.31586496700765565,6
2020-05-29,Susan Rice,9,1,Fri,85,0.4117565769702196,34
2020-09-13,Peter R. Orszag,17,1,Sun,15,0.7790042802691459,11
2020-11-01,Sally Jewell,3,1,Sun,50,0.7405966448015533,37
2020-06-03,Ash Carter,4,1,Wed,0,0.822420888103079,0
2020-06-26,Rahm Emanuel,20,1,Fri,19,0.13435836907010526,2
2020-09-24,Shaun Donovan,17,1,Thu,45,0.424491456663236,19
2020-04-17,John Kerry,2,1,Fri,51,0.8174915842013434,41
2020-06-18,Eric Holder,31,1,Thu,0,0.6127821050817147,0
2020-07-06,Peter R. Orszag,13,1,Mon,0,0.3156897532637231,0
2020-05-05,Alan Krueger,10,1,Tue,0,0.5939222153043374,0
2020-08-05,Jeanne Hulit,9,1,Wed,0,0.14716509360587224,0
2020-10-28,Robert Gates,20,1,Wed,0,0.620486700499896,0
2020-11-01,Gary Locke,20,1,Sun,35,0.38627477757399903,13
2020-05-09,Rebecca Blank,16,1,Sat,71,0.09219128183322027,6
2020-07-27,Jeanne Hulit,19,1,Mon,0,0.1223965723416768,0
2020-06-23,Jeh Johnson,7,1,Tue,0,0.023382740572560578,0
2020-08-25,Janet Napolitano,8,1,Tue,0,0.2085715683293529,0
2020-05-29,Miriam Sapiro,15,1,Fri,41,0.12619512935634702,5
2020-07-11,Jeffrey Zients,15,1,Sat,47,0.17196927595650777,8
2020-05-08,Rand Beers,5,1,Fri,39,0.6746226657414809,26
2020-06-20,Daniel Poneman,12,1,Sat,105,0.448602445772849,47
2020-09-05,Bob Perciasepe,5,1,Sat,44,0.630112457589712,27
2020-07-15,Jeanne Hulit,27,1,Wed,0,0.39240349701140076,0
2020-04-14,Pete Rouse,7,1,Tue,0,0.6635382666718215,0
2020-09-18,Robert Gates,16,1,Fri,72,0.24412229087902232,17
2020-06-30,Gary Locke,18,1,Tue,0,0.13295803515939042,0
2020-10-30,Michael Scuse,39,1,Fri,0,0.32038046460365877,0
2020-06-01,John King Jr.,14,1,Mon,0,0.6909897707286291,0
2020-10-01,Leon Panetta,3,1,Thu,20,0.37721054861322045,7
2020-04-18,Kathleen Sebelius,12,1,Sat,140,0.38683769539929924,54
2020-10-10,Gina McCarthy,14,1,Sat,101,0.32032492583384736,32
2020-07-12,Ron Kirk,17,1,Sun,0,0.6444208413595334,0
2020-04-24,Robert Gates,8,1,Fri,64,0.3295343428268097,21
2020-06-12,Rand Beers,3,1,Fri,93,0.5142813932267017,47
2020-09-29,Tom Vilsack,4,1,Tue,0,0.8166885038255713,0
2020-05-31,Daniel Poneman,9,1,Sun,44,0.6191336671239697,27
2020-08-06,Bob McDonald,7,1,Thu,19,0.2659329934627749,5
2020-09-29,Michael Scuse,29,1,Tue,0,0.6626896817586384,0
2020-04-16,Timothy Geithner,20,1,Thu,35,0.24034810243174434,8
2020-08-31,Penny Pritzker,20,1,Mon,0,0.18520281555829568,0
2020-08-30,Maria Contreras-Sweet,19,1,Sun,39,0.0018611904000863432,0
2020-07-10,Ernest Moniz,9,1,Fri,47,0.12837176655884833,6
2020-07-04,Christina Romer,19,1,Sat,57,0.18809972667368127,10
2020-07-31,Ernest Moniz,19,1,Fri,22,0.14133646643022074,3
2020-10-19,Peter R. Orszag,19,1,Mon,0,0.6576683940947987,0
2020-05-21,Bob McDonald,13,1,Thu,0,0.4428925992338918,0
2020-05-19,Tom Vilsack,20,1,Tue,0,0.31842888398095964,0
2020-07-01,Peter R. Orszag,19,1,Wed,0,0.3252269982593134,0
2020-06-12,Ken Salazar,12,1,Fri,56,0.009892041061539203,0
2020-10-05,Kathleen Sebelius,4,1,Mon,0,0.6354381297016516,0
2020-05-09,Eric Holder,6,1,Sat,55,0.19428199552930892,10
2020-07-17,John Kerry,7,1,Fri,36,0.24451383018167688,8
2020-07-03,Daniel Poneman,9,1,Fri,56,0.38565454971976576,21
